E_GRB,T_90,E_aft,t_dec,t_jet_break,d,theta,beta,snr
1.8119031994221055e+54,0.1113398375483445,1.6778125367631966e+54,105.16685802141448,202548.6767249163,446741633.6347521,1.120780769547594,0.9012363081645091,0.10881429164864223
3.4795566087210315e+50,34.861554233332264,9.405408962563011e+52,0.6445960699181031,290689.64958781016,41288744.724317156,1.3765960683403289,0.9421300713533081,0.00019349582786606115
1.1644469611530765e+47,2.381623077953311,4.224126798543525e+54,27.288400133082387,86164.11670935544,1486772230.0763533,1.005611204272888,0.9663822846851727,6.49045132970501e-05
1.297285092203477e+48,19.083488629806656,1.25156509720268e+53,10.811336395783234,29520.486023232632,5289109083.564706,1.2710987538402292,0.9279043834211517,1.2382665656758785e-06
5.555461894496132e+51,3.812126999501179,3.104249178359623e+51,1.07973273783485,760367.2897154959,175756474.4465403,1.091971586975671,0.9525733558525149,0.0009947046709386852
1.1348519143315059e+53,62.822429218887585,5.584499500531155e+55,740.5486520673438,125572.58337375833,99435388.93960328,1.4141611560896723,0.98917331862664,0.025337716059696334
1.2226778027077842e+49,0.5125124090830421,6.992347886293915e+51,0.015757594254599147,17862.57415135516,835012755.1217182,1.2236782743339993,0.9142995093954879,8.162097939817387e-07
3.703854556371181e+48,40.1470086671584,3.5142927529372165e+55,2.581604467473817,266519.80746707896,2399719499.079398,1.2956121179413622,0.9358845941259982,8.397312624093809e-05
3.4549282796396998e+53,0.9778481626835765,1.10128885410693e+52,4.57287545654873,8990.868060734818,71672465.18915795,1.0670695201159544,0.9601712400737588,0.15733375695398005
4.649428656561849e+52,226.93816443194083,4.917048532183791e+53,0.031450512964618656,62620.69671406516,505104045.7955024,1.4467649081685405,0.9939530537447747,0.0006871017661528769
1.6807775971154221e+47,0.2295252228871546,7.778712722823324e+50,375.23039552311025,382494.6433765745,3812381201.6103964,1.1997980424612449,0.918905048052443,1.4582166542640612e-09
1.0474096826730281e+46,143.09372035304855,2.6599134481871607e+52,222.19829669647078,572838.1759469298,1029189498.8539484,1.4939826517357047,0.9821989785282685,6.701585834447748e-08
4.194507777389517e+51,0.41620012844728704,1.5093914086852324e+55,0.07830592920538389,40267.22886437089,113343411.53239349,1.1629163335035624,0.9087855149805409,0.005230059355999888
3.8296317662148416e+54,8.657294814715007,3.35225225900491e+50,48.12886580827402,24365.57001623986,309246375.2920062,1.3263531223700338,0.9470858877893138,0.3318675377801949
5.943562763593317e+49,5.18473120654017,1.1916135175656033e+54,0.36139147424592594,94603.38896481549,8422917185.599549,1.039571941741458,0.9708614449973438,2.954214423190805e-06
4.929244616838414e+49,46.363240687791816,5.2779369321533976e+50,5.324521978450189,345172.7206702524,784864835.3632542,1.116962478063963,0.9672808114329037,1.7028345580091973e-06
4.622016199098483e+54,1.1060152315810943,7.4959159832856014e+53,2.293430764069715,65185.02180760143,105255240.48940815,1.2726050073949584,0.941261238587204,1.2167466102173001
3.511284194485307e+51,203.35633192711333,4.173779008308099e+52,364.71711430538846,14421.75521412876,166992327.3395278,1.2472083243152248,0.9002196140147002,0.00016867107801928232
1.2500176137444755e+46,0.19647750949824047,9.462960651367898e+54,0.033469990557386184,155948.1316007412,5538626337.779039,1.4309832711806292,0.9753419526304357,1.6932158452674846e-05
1.392176132036154e+47,127.03002280407836,3.1443947703271104e+53,0.08056975027711483,141136.3518888158,1295897381.1796923,1.151495854172488,0.9140204524528455,2.7133168963957078e-06
5.604339676003897e+52,0.3588767037690223,1.2450139767014888e+51,208.8105651129093,17721.649518582348,47131373.12168601,1.5540399857793383,0.9894819875966389,0.02931361364545464
2.8958264174232034e+53,10.070797691810586,2.2247048408425345e+55,0.31040452241315286,33757.85803428395,385211059.8271482,1.0222414483477213,0.9526743128639117,0.024265548328752926
4.4259039462872585e+48,5.809689094632722,1.7449250726312361e+52,54.18084768646852,740399.0362097686,3540479827.7540736,1.389292876271545,0.9278117437575762,3.2257825920111976e-08
1.014497550251041e+49,487.1662608573639,8.762405270154542e+55,106.99818225331197,49986.726834232024,9768318845.817432,1.1738319244673205,0.9184296566757144,0.000285409589364372
1.36987761520555e+53,0.1678015912420187,4.3835435145149435e+51,0.15547731914751717,462298.7130817807,268004901.67182398,1.5184330309852783,0.9944614352654556,0.013171842084004995
4.648347854196614e+51,22.86972536586048,1.9704167096420025e+53,23.176212084611343,208867.4122970412,130038068.72006074,1.045693993693343,0.9608598213705059,0.001107252526041818
1.547981530442775e+48,1.6355149871424337,1.9526436706477556e+51,0.7175410633430995,11059.317907507722,901605307.7060026,1.362330719600954,0.9352076088135931,2.93324943019126e-07
9.649619193381118e+46,12.610515076126575,5.953731382723543e+52,1.2714151721029683,22896.92197204834,4012463452.6917987,1.079937385747868,0.9723579898312154,1.2551943259409502e-06
4.19486480955696e+50,2.5934961051222523,6.692518415259058e+54,9.713145042967856,104403.77032868376,482349201.30394346,1.3203026781439193,0.945622449096371,0.00020884101406395356
1.517969424707903e+54,91.86819165731866,1.496421371222046e+50,0.0154893716714669,547696.2935997571,76251889.01383057,1.2015551388644221,0.9075676924911193,0.3360145785225948
1.6274488207379092e+50,0.7780549802400532,2.6852641808372374e+54,797.0076940519948,43615.77078763486,2267031153.110078,1.4794723188498062,0.9835103304610401,4.1621928201912135e-05
2.047637750423511e+50,66.3616225532295,5.645599725835379e+51,0.18194284498283894,191742.1640972749,568792937.2800013,1.2599004583153606,0.9109249184226648,6.9304213829637655e-06
1.2053864477204364e+54,0.56334946801704,4.5084534756217255e+55,32.4860821316788,11724.616488365953,4782744432.018123,1.0977947730215283,0.9863338841541267,0.008886332760529901
9.89436464656455e+50,19.99146956602492,2.4979333332984592e+51,0.04723451116341257,81618.82344256756,1913489709.9696872,1.4067375570388374,0.9687774611239959,1.3193636043230483e-05
4.094853852786953e+46,4.086964918072719,1.0070009474897163e+53,125.17774426605764,275635.9774754259,63668587.43185123,1.234486665386799,0.9429124005668954,9.344111561318457e-06
6.278758528328722e+47,31.70117035913498,3.3972819788245256e+54,302.9777514028524,802741.780921315,226204828.42113215,1.5371701248891436,0.9580843545720035,2.5388108050314947e-05
1.1478869529553497e+52,2.2535787093796764,7.5651489591944e+52,0.027181046892381766,31131.710450752867,8156499084.079318,1.1307373012223398,0.9317367339219456,4.1036853908832124e-05
1.0390006854904562e+53,307.70282514885395,1.3539489886652538e+54,4.422366717068689,18869.92849548827,1063164083.4061508,1.3645500676471252,0.9210932162391393,0.000448528637347968
1.3354214762560083e+49,0.10623474252104659,1.888641425754571e+50,1.8628295297527702,132491.16582515332,155004934.71838436,1.010922016842434,0.9981627661811079,3.2485439363907876e-06
2.928260730549265e+48,8.349319894960667,9.588193262350764e+53,0.012721113744381167,8833.206412531024,56484219.873151764,1.5019493699335795,0.9499442461247113,0.002634106079796763
4.369843836902236e+53,4.787883381550121,2.69762619515086e+50,640.1285539726948,261542.79765685962,1536370309.9830449,1.1526709627814906,0.9243954334141565,0.00801547789181762
