# Theta(rad) Phi(rad) Memory(strain)
2.166615623165374649e-01 2.023398658244273562e+00 4.733671627921540646e-27
2.166615623165374649e-01 2.129893324467656335e+00 2.940515438521417900e-27
2.166615623165374649e-01 2.236387990691039107e+00 1.486641868607652858e-27
2.166615623165374649e-01 2.342882656914421879e+00 -1.970466927249513998e-28
2.166615623165374649e-01 2.449377323137804652e+00 -1.562120415478954828e-27
2.166615623165374649e-01 2.555871989361187424e+00 -2.911739354423565470e-27
2.166615623165374649e-01 2.662366655584570196e+00 -4.474869389151275067e-27
2.166615623165374649e-01 2.768861321807952969e+00 -5.436305075480803793e-27
2.166615623165374649e-01 2.875355988031336185e+00 -6.801548437205328451e-27
2.166615623165374649e-01 2.981850654254718958e+00 -6.954610403359412742e-27
2.166615623165374649e-01 3.088345320478101730e+00 -7.191113338575494398e-27
2.166615623165374649e-01 3.194839986701484502e+00 -6.952146381969427417e-27
2.166615623165374649e-01 3.301334652924867274e+00 -6.499968907307624496e-27
2.166615623165374649e-01 3.407829319148250047e+00 -6.036588526630998120e-27
2.166615623165374649e-01 3.514323985371632819e+00 -4.490135293172415283e-27
2.166615623165374649e-01 3.620818651595015591e+00 -3.155866185374580431e-27
2.166615623165374649e-01 3.727313317818398364e+00 -1.255526350344967367e-27
2.166615623165374649e-01 3.833807984041781136e+00 5.553579376095504693e-28
2.166615623165374649e-01 3.940302650265163908e+00 2.260092292607332930e-27
2.166615623165374649e-01 4.046797316488547125e+00 4.159025008122285308e-27
2.166615623165374649e-01 4.153291982711929897e+00 5.697239271293016322e-27
2.166615623165374649e-01 4.259786648935312670e+00 7.528487768668909670e-27
2.166615623165374649e-01 4.366281315158695442e+00 8.744481132832302044e-27
2.166615623165374649e-01 4.472775981382078214e+00 9.985278445594587981e-27
2.166615623165374649e-01 4.579270647605460987e+00 1.043741028985290524e-26
2.166615623165374649e-01 4.685765313828843759e+00 1.053149393150707867e-26
2.166615623165374649e-01 4.792259980052226531e+00 1.055872348367490966e-26
2.166615623165374649e-01 4.898754646275609304e+00 9.833653264521132798e-27
2.166615623165374649e-01 5.005249312498992076e+00 9.125014136985625243e-27
2.166615623165374649e-01 5.111743978722374848e+00 7.831560532860349161e-27
2.166615623165374649e-01 5.218238644945757621e+00 6.555805006299402953e-27
2.166615623165374649e-01 5.324733311169140393e+00 4.944758961496042670e-27
2.166615623165374649e-01 5.431227977392523165e+00 3.070033001214571585e-27
2.166615623165374649e-01 5.537722643615905938e+00 1.384262733300721970e-27
2.166615623165374649e-01 5.644217309839288710e+00 -5.653183999344597585e-28
2.166615623165374649e-01 5.750711976062672370e+00 -2.131044962457227490e-27
2.166615623165374649e-01 5.857206642286055143e+00 -3.878693571250048387e-27
2.166615623165374649e-01 5.963701308509437915e+00 -5.333542770040890307e-27
2.166615623165374649e-01 6.070195974732820687e+00 -6.364127042556113551e-27
2.166615623165374649e-01 6.176690640956203460e+00 -7.228897005608957945e-27
2.166615623165374649e-01 6.283185307179586232e+00 -7.115979812975325688e-27
3.249923434748062112e-01 0.000000000000000000e+00 -1.474299294484745759e-26
3.249923434748062112e-01 1.064946662233828140e-01 -1.445747996940899780e-26
3.249923434748062112e-01 2.129893324467656279e-01 -1.356703742637044088e-26
3.249923434748062112e-01 3.194839986701484280e-01 -1.213405350220378005e-26
3.249923434748062112e-01 4.259786648935312559e-01 -9.540716447431618741e-27
3.249923434748062112e-01 5.324733311169140837e-01 -6.709305508829751674e-27
3.249923434748062112e-01 6.389679973402968560e-01 -3.471904064878278215e-27
3.249923434748062112e-01 7.454626635636797394e-01 -3.965412160976603816e-28
3.249923434748062112e-01 8.519573297870625117e-01 2.712084297736469269e-27
3.249923434748062112e-01 9.584519960104452840e-01 5.835198270549893970e-27
3.249923434748062112e-01 1.064946662233828167e+00 8.761292499947754950e-27
3.249923434748062112e-01 1.171441328457210940e+00 1.157642544329708460e-26
3.249923434748062112e-01 1.277935994680593712e+00 1.383924792328900788e-26
3.249923434748062112e-01 1.384430660903976484e+00 1.543448456819539118e-26
3.249923434748062112e-01 1.490925327127359479e+00 1.637249034983302129e-26
3.249923434748062112e-01 1.597419993350742251e+00 1.630414560391727207e-26
3.249923434748062112e-01 1.703914659574125023e+00 1.568994883843377143e-26
3.249923434748062112e-01 1.810409325797507796e+00 1.459194986766612703e-26
3.249923434748062112e-01 1.916903992020890568e+00 1.279293953459058334e-26
3.249923434748062112e-01 2.023398658244273562e+00 1.010031986909836503e-26
3.249923434748062112e-01 2.129893324467656335e+00 7.128061643968504551e-27
3.249923434748062112e-01 2.236387990691039107e+00 3.737436342718454739e-27
3.249923434748062112e-01 2.342882656914421879e+00 1.816481070255925809e-28
3.249923434748062112e-01 2.449377323137804652e+00 -3.139945222033195323e-27
3.249923434748062112e-01 2.555871989361187424e+00 -6.311025263576851346e-27
3.249923434748062112e-01 2.662366655584570196e+00 -8.978234749065554023e-27
3.249923434748062112e-01 2.768861321807952969e+00 -1.138819350497619263e-26
3.249923434748062112e-01 2.875355988031336185e+00 -1.340045486077385209e-26
3.249923434748062112e-01 2.981850654254718958e+00 -1.482746093441962971e-26
3.249923434748062112e-01 3.088345320478101730e+00 -1.534426326386125076e-26
3.249923434748062112e-01 3.194839986701484502e+00 -1.487849673857345390e-26
3.249923434748062112e-01 3.301334652924867274e+00 -1.397862764189807971e-26
3.249923434748062112e-01 3.407829319148250047e+00 -1.233203727503923708e-26
3.249923434748062112e-01 3.514323985371632819e+00 -1.006268797002548349e-26
3.249923434748062112e-01 3.620818651595015591e+00 -7.401255599149178643e-27
3.249923434748062112e-01 3.727313317818398364e+00 -4.523026187864308589e-27
3.249923434748062112e-01 3.833807984041781136e+00 -1.124205595194437435e-27
3.249923434748062112e-01 3.940302650265163908e+00 2.569377806240551293e-27
3.249923434748062112e-01 4.046797316488547125e+00 6.176756781402400108e-27
3.249923434748062112e-01 4.153291982711929897e+00 9.716348358359295788e-27
3.249923434748062112e-01 4.259786648935312670e+00 1.248395984094668736e-26
3.249923434748062112e-01 4.366281315158695442e+00 1.513405940455646499e-26
3.249923434748062112e-01 4.472775981382078214e+00 1.712824613020691239e-26
3.249923434748062112e-01 4.579270647605460987e+00 1.837376256372079107e-26
3.249923434748062112e-01 4.685765313828843759e+00 1.901989928782230541e-26
3.249923434748062112e-01 4.792259980052226531e+00 1.896301865717253380e-26
3.249923434748062112e-01 4.898754646275609304e+00 1.816359404946338945e-26
3.249923434748062112e-01 5.005249312498992076e+00 1.652450500760130317e-26
3.249923434748062112e-01 5.111743978722374848e+00 1.411147188527445326e-26
3.249923434748062112e-01 5.218238644945757621e+00 1.128271300642818113e-26
3.249923434748062112e-01 5.324733311169140393e+00 8.141439834408279921e-27
3.249923434748062112e-01 5.431227977392523165e+00 4.690318534678051813e-27
3.249923434748062112e-01 5.537722643615905938e+00 1.164902482124972073e-27
3.249923434748062112e-01 5.644217309839288710e+00 -2.113582512785514685e-27
3.249923434748062112e-01 5.750711976062672370e+00 -5.531422697196392545e-27
3.249923434748062112e-01 5.857206642286055143e+00 -8.684494054299389896e-27
3.249923434748062112e-01 5.963701308509437915e+00 -1.123932760296432461e-26
3.249923434748062112e-01 6.070195974732820687e+00 -1.313878121786956882e-26
3.249923434748062112e-01 6.176690640956203460e+00 -1.434096966138852943e-26
3.249923434748062112e-01 6.283185307179586232e+00 -1.474299294484745472e-26
4.333231246330749298e-01 0.000000000000000000e+00 -2.205237617630990319e-26
4.333231246330749298e-01 1.064946662233828140e-01 -2.172048565057304699e-26
4.333231246330749298e-01 2.129893324467656279e-01 -2.019362135742860359e-26
4.333231246330749298e-01 3.194839986701484280e-01 -1.772184790495647227e-26
4.333231246330749298e-01 4.259786648935312559e-01 -1.445935701158814104e-26
4.333231246330749298e-01 5.324733311169140837e-01 -1.013345234633876057e-26
4.333231246330749298e-01 6.389679973402968560e-01 -5.172161582465803454e-27
4.333231246330749298e-01 7.454626635636797394e-01 5.408799288798882134e-28
4.333231246330749298e-01 8.519573297870625117e-01 5.934079652316804163e-27
4.333231246330749298e-01 9.584519960104452840e-01 1.135282995906107683e-26
4.333231246330749298e-01 1.064946662233828167e+00 1.579538916115955171e-26
4.333231246330749298e-01 1.171441328457210940e+00 1.979046632711384179e-26
4.333231246330749298e-01 1.277935994680593712e+00 2.299515369237322754e-26
4.333231246330749298e-01 1.384430660903976484e+00 2.512290035838286661e-26
4.333231246330749298e-01 1.490925327127359479e+00 2.650340937187790157e-26
4.333231246330749298e-01 1.597419993350742251e+00 2.681592528173379731e-26
4.333231246330749298e-01 1.703914659574125023e+00 2.612280513337302133e-26
4.333231246330749298e-01 1.810409325797507796e+00 2.417539130482553276e-26
4.333231246330749298e-01 1.916903992020890568e+00 2.101937869707369369e-26
