# Theta(rad) Phi(rad) Memory(strain)
5.324733311169140698e-02 2.481594196953281983e+00 8.161757869168840965e-28
5.324733311169140698e-02 2.534394073484202980e+00 7.854230578929175185e-28
5.324733311169140698e-02 2.587193950015123978e+00 7.554499871494364560e-28
5.324733311169140698e-02 2.639993826546044531e+00 7.257469890708302353e-28
5.324733311169140698e-02 2.692793703076965528e+00 6.672340497801687036e-28
5.324733311169140698e-02 2.745593579607886525e+00 3.477079825520271880e-28
5.324733311169140698e-02 2.798393456138807522e+00 3.284221210263712562e-28
5.324733311169140698e-02 2.851193332669728076e+00 4.376130617143198652e-28
5.324733311169140698e-02 2.903993209200649073e+00 4.888242941473532062e-28
5.324733311169140698e-02 2.956793085731570070e+00 5.230968296849314424e-28
5.324733311169140698e-02 3.009592962262491067e+00 5.517541565684792806e-28
5.324733311169140698e-02 3.062392838793411620e+00 5.765758059445961988e-28
5.324733311169140698e-02 3.115192715324332617e+00 5.970414387963531763e-28
5.324733311169140698e-02 3.167992591855253615e+00 6.125802268523639833e-28
5.324733311169140698e-02 3.220792468386174612e+00 6.232619610400609708e-28
5.324733311169140698e-02 3.273592344917095165e+00 6.299514666209811727e-28
5.324733311169140698e-02 3.326392221448016162e+00 6.340017502068819431e-28
5.324733311169140698e-02 3.379192097978937159e+00 6.357793448095379098e-28
5.324733311169140698e-02 3.431991974509858156e+00 6.298445036911139157e-28
5.324733311169140698e-02 3.484791851040779154e+00 5.920772214818741827e-28
5.324733311169140698e-02 3.537591727571699707e+00 6.370153056911086338e-28
5.324733311169140698e-02 3.590391604102620704e+00 8.694898941326983248e-28
5.324733311169140698e-02 3.643191480633541701e+00 9.446482222328206430e-28
5.324733311169140698e-02 3.695991357164462698e+00 1.003715796344837336e-27
5.324733311169140698e-02 3.748791233695383252e+00 1.063342826027867595e-27
5.324733311169140698e-02 3.801591110226304249e+00 1.122753130215187404e-27
5.324733311169140698e-02 3.854390986757225246e+00 1.180419184202264444e-27
5.324733311169140698e-02 3.907190863288146243e+00 1.236167730004085256e-27
5.324733311169140698e-02 3.959990739819066796e+00 1.291280673964092013e-27
5.324733311169140698e-02 4.012790616349987793e+00 1.347448885891552997e-27
5.324733311169140698e-02 4.065590492880908791e+00 1.405304531365560733e-27
5.324733311169140698e-02 4.118390369411829788e+00 1.463659433691321997e-27
5.324733311169140698e-02 4.171190245942750785e+00 1.520451577835280427e-27
5.324733311169140698e-02 4.223990122473671782e+00 1.580660522560968680e-27
5.324733311169140698e-02 4.276789999004592779e+00 1.736645733008761476e-27
5.324733311169140698e-02 4.329589875535512888e+00 2.335303766924033790e-27
5.324733311169140698e-02 4.382389752066433886e+00 2.194548836566968322e-27
5.324733311169140698e-02 4.435189628597354883e+00 2.066330116059846541e-27
5.324733311169140698e-02 4.487989505128275880e+00 2.013481121030515633e-27
5.324733311169140698e-02 4.540789381659196877e+00 1.983655231176701714e-27
5.324733311169140698e-02 4.593589258190117874e+00 1.963669801610279954e-27
5.324733311169140698e-02 4.646389134721038872e+00 1.951677587558699065e-27
5.324733311169140698e-02 4.699189011251959869e+00 1.948472154630237912e-27
5.324733311169140698e-02 4.751988887782879978e+00 1.954655254232165712e-27
5.324733311169140698e-02 4.804788764313800975e+00 1.969569974257354617e-27
5.324733311169140698e-02 4.857588640844721972e+00 1.990853717798557619e-27
5.324733311169140698e-02 4.910388517375642969e+00 2.014789063286624719e-27
5.324733311169140698e-02 4.963188393906563967e+00 2.038674417385061599e-27
5.324733311169140698e-02 5.015988270437484964e+00 2.068155776097456521e-27
5.324733311169140698e-02 5.068788146968405961e+00 2.128835092493157270e-27
5.324733311169140698e-02 5.121588023499326958e+00 1.996211342784294524e-27
5.324733311169140698e-02 5.174387900030247955e+00 1.822145004853762183e-27
5.324733311169140698e-02 5.227187776561168064e+00 1.753399865505128196e-27
5.324733311169140698e-02 5.279987653092089062e+00 1.688757846430224480e-27
5.324733311169140698e-02 5.332787529623010059e+00 1.620895742869118593e-27
5.324733311169140698e-02 5.385587406153931056e+00 1.551276452508045952e-27
5.324733311169140698e-02 5.438387282684852053e+00 1.481450096312357333e-27
5.324733311169140698e-02 5.491187159215773050e+00 1.412120210723875396e-27
5.324733311169140698e-02 5.543987035746694048e+00 1.343285532580690652e-27
5.324733311169140698e-02 5.596786912277615045e+00 1.274856973565090611e-27
5.324733311169140698e-02 5.649586788808535154e+00 1.207316199198142782e-27
5.324733311169140698e-02 5.702386665339456151e+00 1.141937261476263322e-27
5.324733311169140698e-02 5.755186541870377148e+00 1.080132455930699824e-27
5.324733311169140698e-02 5.807986418401298145e+00 1.018197336368600077e-27
5.324733311169140698e-02 5.860786294932219143e+00 8.913957390558360476e-28
5.324733311169140698e-02 5.913586171463140140e+00 6.675389799137116875e-28
5.324733311169140698e-02 5.966386047994061137e+00 7.295393956209963919e-28
5.324733311169140698e-02 6.019185924524982134e+00 7.571365669051760185e-28
5.324733311169140698e-02 6.071985801055903131e+00 7.684224415440729825e-28
5.324733311169140698e-02 6.124785677586823240e+00 7.755510467379849154e-28
5.324733311169140698e-02 6.177585554117744238e+00 7.787135161928226336e-28
5.324733311169140698e-02 6.230385430648665235e+00 7.753260982280598510e-28
5.324733311169140698e-02 6.283185307179586232e+00 7.630972418810119147e-28
1.064946662233828140e-01 0.000000000000000000e+00 -1.066955413280184717e-27
